,idx,src,mt,type
1940620,1452807,"In der Masse von Heiligem Francisco, von Michelangelo, Pier des Francesca, die Schlacht von Anghiari, vollständig eingetaucht in das Grün und in die rigogliosa Natur, in der Frieden und Ruhe der König und die Königin ist, wohin das Blau des Himmels mit Silber des ulivi, in dem das Gelb des ginestre zu den Farben des viole und der Gänseblümchen gerührt werden, in der Oberseite zu einem Hügel konfus erhält, von dem ein herrliches Panorama vom hohen bewundert werden kann geht sie des Tevere und das Appennino Tosco - Umbro - Marchigiano, es, in Masse von Toskana, die Bauernhoffeiertage ""der Dorf ofthe Senator"" steigt.","In the mass of San Francisco, Michelangelo, Pier des Francesca, the battle of Anghiari, completely immersed in the green and rigidogliosa nature, in which the king and the queen is peace and tranquillity, where the blue of the sky with silver of ulivi, in which the yellow of the ginestre is touched to the colors of the viole and the geese bloom gets confus in the top to a hill from which a splendid panorama of the high can be admired it goes of Tevere and Appennino Tosco - Umbro - Marchigiano, it, in the mass of Tuscany, the farm-effectage ""the village of the Senator"" rises.",TO ANNOTATE
630529,831341,"Gänsemousse mit Trüffeln in Armagnac, 100 g.","Passenger buses with truffles in Armagnac, 100 g.",TO ANNOTATE
1424744,419954,"Auch Tontechniker gerne unsere auf und gesehen werden gibt es kein Kapitel, das haben sich nicht auf ein paar Kristalle zu entfernen und die Pole in einigem Nachdenken.","Even sound technicians like to be seen our up and there is no chapter, that do not have to remove a few crystals and the poles in some reflection.",TO ANNOTATE
1136656,504849,"In das Thema www.co.cc Check unsere Brüder - hierher gekommen, um kommentieren zu einem Papier Schrumpfschläuche .",In the theme www.co.cc check our brothers - come here to comment on a paper shrink hoses .,TO ANNOTATE
1757604,107233,VERORDNUNG DES RATES ZUR ERHALTUNG DER FISCHEREIRESSOURCEN DURCH TECHNISCHE MASSNAHMEN ZUM SCHUTZ VON JUNGEN MEERESTIEREN,REGARDING THE COUNCIL ON THE DECISION OF FISHERIRESSOURCES BY TECHNIC ACTIONS TO USE OF MEMBERS,TO ANNOTATE
798631,65969,Es ist klasische mittelschwere Kammwanderung nicht schwer nur ziemlich r lang und ungleichmäßig.,It is not difficult to have a crystal-clear medium-sized mammoth migration for a fairly long and uneven period.,TO ANNOTATE
1877783,280627,"Gleich, als ob der Frühling aus, das Unbekannte mit einem Trommelfeuer von Schlägen vergolten und war Berater der Boden wegen eines unerwarteten ataque.Instantaneamente, wie von Zauberhand waren die Lehrer und Berater bereits an anderer Stelle, sehr ähnlich die erste und ein anderer Mann näherte.","As if the spring out, the unknown gilded with a drumfire of blows, and was advisor to the ground because of an unexpected ataque. As of magic, the teachers and advisers were already in another place, very similar to the first and another man approached.",TO ANNOTATE
1058160,1348463,"Vielleicht hoppelt zur Begrüßung ein Hase über den Weg, oder oben am Waldrand äst gerade eine Rehfamilie.",Maybe a hangover over the path or at the top of the forest just means a family of reefs.,TO ANNOTATE
537565,186533,Alle Tiere in unserem Zwinger sind reinrassige Bobtail Kurilen!,All animals in our twins are pure bobtail cures!,TO ANNOTATE
139471,1550404,Die Zeit fehlt uns natürlich nachträglich.,"Of course, we do not have time afterwards.",TO ANNOTATE
365647,1183534,Fügen Sie nicht alles und wir nie zu ermutigen oder zurückgeben.,Do not add everything and we never encourage or return.,TO ANNOTATE
1921733,1047710,") Orthodoxie, die sich aus sich selbst ernährt mittels magischer Litaneien, unbegrenzt psalmodiert von einer närrischen Menge von Tafel-Ausgräbern, Papyrus-Entrollern, Urkunden-Plünderern, bequem in ihre Lehr-Stühle eingepasste Doktoren, die mit gequältem Hüsteln (oh Jobelin Bridé !",") Orthodoxy, which feeds itself out of itself by means of magical litany, unlimited psalmoded by a närrian crowd of table tombs, papyrus scrollers, document designers, conveniently inserted into their apprentices' chairs, with tormented scaffold (oh Jobelin Bridé!",TO ANNOTATE
1881565,730898,"So, ich hoffe nur, wenn der Staat immer so hart insgesamt zu verbieten, das Rauchen und Schnupftabak, dass die mit ihnen Geld sparen, für die dieser zur Förderung aller ølutsalg - für ølkrigene nach ein paar Jahren hat die Hölle Med Ola auch Schweine-wie Tiere auch!","So, I hope only if the state always so harshly to ban the total smoking and snuff that save with them money, for which this one to promote all ølutsalg - for ølkrigene after a few years hell Med Ola also has pigs and animals!",TO ANNOTATE
780790,422933,Ich sage es so: Mehr ist der Spatz in der Hand als die Taube tot auf dem Dach.,"I say this: more than the dove, the treasure is in your hand dead on the roof.",TO ANNOTATE
1015813,1310272,"Nach dem Motto: ""wer zahlt schafft an"" ist es dennoch sinnvoll, die Nettozahler nicht vor den Kopf zu stoßen.","According to the motto: ""who pays to"" it makes sense not to bother the net contributors.",TO ANNOTATE
1775688,1058056,"Ob Sie es fehlen ein paar Tage (8 heute) für Spanien gegen Schweden Union Entlastung des Präsidenten des Europäischen, gibt es einige Last-Minute-Veranstaltungen bieten mehr Sinn, die Rolle, dass unser Land die Jahrzehnte gespielt hat auf dem Balkan in den vergangenen zwei .","Whether you are missing a few days (8 today) for Spain against Sweden Union discharge of the President of the European Union, there are some last minute events offer more meaning, the role that our country has played the decades in the Balkans in the last two .",TO ANNOTATE
298383,1531589,"1000 Bäder bestücken könnte, verlassen täglich das Werk.","1000 baths could be fitted, leaving the plant every day.",TO ANNOTATE
248554,1622072,- 3 - Zu nennen sind insbesondere folgende Neuerungen:,- 3 - In particular:,TO ANNOTATE
170157,1276088,Eine Pflege auf Basis von Preiselbeeren.,Care on the basis of the same prizes.,TO ANNOTATE
664072,1831037,"Halten Sie also die Untertasse so, dass die Tasse gegen Ihren Körper zeigt.",Keep the lower cup so that the cup against your body shows.,TO ANNOTATE
309240,1200408,"6 zur Akte über den Beitritt Schwedens erfüllen, vorgesehen.",6 to the Act of Accession of Sweden.,TO ANNOTATE
1873691,521230,"Es ist schon eine Weile her, dass die foodblog Rezept für Spargel sprießen aller Art, und dann vor ein paar Tagen fand ich mich Angesicht zu Angesicht mit diesen schönen grün-Sticks gekippt blühte, und ohne sich in unnötige Argumente, stehen sie Ich bewunderte und dann schnupperte.","It's been a while since the foodblog recipe for asparagus jump all manner of way, and then a few days ago I found myself face to face with these beautiful green sticks tilted, and without being in unnecessary arguments, they stand I admired and then snupped.",TO ANNOTATE
1425432,335745,"Offensichtlich wurden drastische Maßnahmen wie in hervorgerufen durch eine Vielzahl von ""Leecher"", wurde die Geldbuße, die keine Angst existierte, bevor das System von WoW .","Apparently, drastic measures, as evoked by a large number of ""Leecher,"" became the fine, which did not exist fear before the WoW system.",TO ANNOTATE
233368,1268436,"Alle unsere Mitarbeiter sprechen Russisch, Englisch und Deutsch.","All our staff speak Russian, English and German.",GOOD
413641,1225913,F: Arbeitet AND Phone Group mit dem CallManager zusammen?,Q: Workinget AND Phone Group with CallManager?,TO ANNOTATE
913317,131483,"Mit der Karoreithose ""Cyrano"" im Stoff 194 Microfaserkaro in schwarz ...","With the caroreithose ""Cyrano"" in fabric 194 Microfibrearo in black ...",TO ANNOTATE
1727538,364254,"Dan Aktien, klein wie sie sagt Enrique Dans Sie haben, die möglicherweise wertlos, wenn sie im Januar in der Nähe (irremediablemnte undurchführbar) angefertigt werden oder etwas wert, wenn Millionäre sind.","Dan shares, small as she says Enrique Dans you have, which may be worthless if they are made near in January (irremediablemnte unworkable) or worth something if millionaires are.",TO ANNOTATE
419893,1677670,"Schreibe was amuesantes, damit es wirklich lustig ist.",Write what amuesantes to make it really fun.,TO ANNOTATE
1615179,316587,"Raritäten aus der Vorzeit, die Blüte der Stadt im Mittelalter, die schwärmerische Zeit der Rheinromantik, das harte Leben der Schifferfamilien und vieles mehr werden lebendig.","Early rarities, the city's flourishing in the Middle Ages, the weaker Rheinromantik period, the hard life of the shipping families and much more are living.",TO ANNOTATE
1386420,787564,"Wird Bei der erfolgreichen Kombination der Materialien der Türen des Schrankes , Auffüllung der er sehr gut einer beliebigen Innenansicht von der Klassik bis zum Jugendstil beitritt.","When the materials of the doors of the wardrobe are successfully combined, filling them up well into any interior view from the classic to the art nouveau.",TO ANNOTATE
609477,730847,Rollladenkasten wird im Integro System unter dem bestehenden Sturz eingebaut.,Rollers are installed in the integro system under the existing crash.,TO ANNOTATE
70853,673589,Die französische Sackgasse,The French Stalemate,TO ANNOTATE
893494,302734,Schreibe über ein Viertel der Ingwer und Frühlingszwiebeln und kryddpåsen.,Write about a quarter of the Ingwer and spring bulbs and krydpåsen.,TO ANNOTATE
183326,913937,Zur Raffination bestimmter Rohrrohzucker,On the refining of certain pipe straw sugar,TO ANNOTATE
892113,380879,"Verlust das Gefühl, geliebt, verloren ein idealer Sie vielleicht das Gefühl, wenn Sie wollen, um zu sterben.","Lost the feeling loved, an ideal you may lose the feeling if you want to die.",TO ANNOTATE
446888,1227946,"Hier rechts bis zum Spar, dann links in die Hartenaugasse.","Here on the right to the Spar, then on the left to the Hartenaugasse.",TO ANNOTATE
404570,1796082,Die Füllung gut mischen und nach Belieben salzen.,The filling is good mix and saline at will.,TO ANNOTATE
647742,1630340,"Manchmal mayby gibt es Reaktionen, die wir nicht beacause sie so klein sind vorbehalten.",Sometimes mayby there are reactions that we do not beacause them so small are reserved.,TO ANNOTATE
1489197,516460,"Und noch einmal 29 erinnert an unsere ""Familie"" Reunion Flying Ohren, nimmt die Stelle Mai Auf unserem Bauernhof - es ist pesanů bisher gemeldeten 1914.","And again 29 reminds us of our ""family"" Reunion Flying ears, takes the place May On our farm - it is pesanů reported so far in 1914.",TO ANNOTATE
1784302,1600736,"Mit der bevorstehenden Veröffentlichung von Ubuntu bekannt ist, kam jetzt bei 8.10, starten Sie den ""üblichen"" Tanz der Eindrücke von denen, dass alles wunderbar, wer wirklich glaubt, ist schwöre Dinge in einer kalten und distanzierten.","With the upcoming release of Ubuntu is known, now came at 8.10, to launch the ""common"" dance of impressions of those that wonderful, who really believes, is sweeter things in a cold and distanced.",TO ANNOTATE
1402405,1252366,"Leser scheinen Siiiii Freunde in das Quadrat der Station Scylla des Unternehmens, dass die Gebäude verwaltet werden stillgelegten Eisenbahnstrecken eine Parkgebühr von Kurs zu schaffen.",Readers seem Siiiiiii friends in the square of the station Scylla of the company that the buildings will be managed decommissioned railway lines to create a parking fee of course.,TO ANNOTATE
1759210,274648,"Jahrelang verschmäht hatte es sich in die düstersten Ecken der Shopping-Center - die Esoterik-Läden - zurückgezogen, wo es zwischen magischen Steinen und Runenanhängern als Chinakladde hauste.","For years, it had gone into the darkest corners of the shopping centers - the esoteric shops - where it hawked between magical stones and runners as a chinakladde.",TO ANNOTATE
513683,489193,Dafür kann man aber gut die sichelfärmig gebogenen Blätter erkennen.,"For this, however, you can easily see the self-sufficiency bent leaves.",TO ANNOTATE
1758666,61577,"Verkauf, LÄNDLICHE HÄUSER UND BÄUERLICHE HÄUSE, Cairo Montenotte, Rustic in Cairo Montenotte, Kleines, unabhängiges Land mit Backofen und umliegende Land.","Sale, RURAL HERE AND EXPRESSLY HERE, Cairo Montenotte, Rustic in Cairo Montenotte, small, independent country with oven and surrounding country.",TO ANNOTATE
284571,1663948,Wie schneiden Mangos sind die Fans wissen Sie.,How cut mangoes are the fans know you.,TO ANNOTATE
1911993,941611,"Wenn das Talent des Vaters sterben, sie gehen, um ein letztes Mal sehen, geschehen, um ein Kind ins Krankenhaus Flure Apple Müll im Inneren haben, schalt seine Mutter ihn, warum er den Apfel in den Papierkorb warf, sagen die Kinder, dass Apple faule Mutter sagte; Bad, wo Sie es abgeschnitten, er war ein guter Apfel!","When the talent of the father die, they go to see a last time, happened to have a child in the hospital Flure Apple garbage inside, his mother switches him why he threw the apple into the trash, the children say that Apple faule mother said; bathroom where you cut it off, he was a good apple!",TO ANNOTATE
1935474,1023399,"Der wirkliche Durchbruch wird nur auftreten, wenn die Währung Ihres Widerstand Kreuze gezeichnet durch, machen Sie einen kleinen Rückfall, und überqueren Sie zum zweiten Mal in einem neuen Kuppe an der Spitze, so doppelte Penetration Ebene ist das wichtigste Kriterium für die zu einem Widerstand in der Höhe der Förderung bestimmten Währung pary.V diesem Fall mindestens eine Transaktion auf dem ""kaufen"" Sie müssen Sitzung werden eine langfristige (relativ) - für ein paar Stunden, um zu versuchen, alle amerikanischen diese Elemente vor dem gehaltenen welcher Währung werden.","The real breakthrough will only occur if the currency of your resistance crossed, make a small fallback, and cross for the second time in a new soup at the top, so double penetration level is the most important criterion for the currency pary.V that is resistant in the amount of promotion. This case at least one transaction on the ""buy"" you have to meet a long-term (relative) - for a few hours to try all these elements in the US before the held which currency will become.",TO ANNOTATE
720743,1155396,"Familiäre Atmosphäre wird bei uns GROSSGESCHRIEBEN, aber auch...","We have a family atmosphere, but also a family atmosphere.",CONTROL HALL
96566,1412964,Richtlinie über den Prospekt *,Prospectus Directive *,TO ANNOTATE
868273,654797,"Die Straßen sind natürlich in Toplitza nicht geräumt, Räumfahrzeuge gibt es nur in den großen Städten.","The roads in Toplitza are, of course, unspoilt, and space vehicles are only available in the major cities.",TO ANNOTATE
73720,1572779,Die Stunde der Technokraten,"The Technocrats"" Hour",TO ANNOTATE
523758,788247,Vielleicht noch ein paar frische Kräuter dazu und ab in den Backofen.,A few fresh herbs may be added to and from the oven.,TO ANNOTATE
433359,1221314,Von jetzt sicher wissen Sie bereits die Jungen Malviviendo .,From now on you will surely know the boys Malviviendo .,TO ANNOTATE
154760,989841,Der Ober bringt Ihr die Speisekarte.,The upper brings you the menu.,TO ANNOTATE
1195959,1758444,"Die Banker werden sich ins Fäustchen lachen, während es aufseiten der Politiker Heulen und Zähneknirschen geben wird.","Bankers will laugh in the fist, while politicians will have heools and teeth.",TO ANNOTATE
731829,1607732,"Alles zu den Symptomen, Gefahren und der Behandlung von Schlafapnoe und Schnarchen.","All about the symptoms, dangers and treatment of sleeves and snapshots.",TO ANNOTATE
72776,1927143,Was hält Frauen auf?,What does women have?,TO ANNOTATE
675699,1498423,"[..] Weil er nun diesen Knaben umgebracht hatte, züchtigte ihn Tang.","[..] Because he had now killed these boys, Tang was breeding him.",TO ANNOTATE
702962,871732,Mehr als dieses Widget braucht es nicht wenn es um Pong im Dashboard geht.,"More than this widget, it doesn't need Pong in Dashboard.",TO ANNOTATE
569368,360182,"Riveted Fans Anfang könnte sich aber auf die 1,2:1 Druckverhältnis zu gehen.","Riveted fans beginning, however, could go to the 1.2:1 printing ratio.",TO ANNOTATE
262384,1659995,Bitte geben Sie Ihre gültige E-Mail Adresse ein.,Please enter your valid e-mail address.,GOOD
730358,550020,", um allen zu versuchen, gibt es den Sinn, hier selbst wenn etwas Tage stehenzubleiben.","in order to try to please everyone, there is a sense to stay here even if there are a few days.",TO ANNOTATE
811471,510128,Ein Fleece-Shirt zum Reinkuscheln - Jasmin ist Wohlfühlen pur.,A Fleece shirt for pure smashing - Jasmin is pure well-being.,TO ANNOTATE
526169,737617,"Sie haben sensationelle, auf Stielen sitzende Komplexaugen.",They have sensational complex axes sitting on Stielen.,TO ANNOTATE
1391974,1781953,"Wer diese Funktionsvielfalt benötigt und dabei nicht auf eine einfache und übersichtliche Bedienung verzichten möchte, für den ist das neue Mitglied der tico-Familie genau das Richtige.",The new member of the tico family is just the right thing to do.,TO ANNOTATE
631833,801319,"Da diese ""anderen"", die das Licht liefert, Pfeile, für Ihre eigenen Fuß.","Since these ""other"" that delivers the light, arrows, for your own foot.",TO ANNOTATE
340501,79905,(Vor Nach neuen Gruppen fragen kann ein Häkchen sein.,"(Before asking for new groups, a checker may be.",TO ANNOTATE
318321,1721713,In der Aufzeichnung des Vorsitzes wird eine diesbezügliche Bilanz gezogen.,The Presidency's record takes stock of this.,TO ANNOTATE
284051,1059805,"Für die als 50 unteren Bestellungen, Verkehrs5 hinzufügen.","For the more than 50 lower orders, add traffic5.",TO ANNOTATE
1325301,507968,Antonio liegt mit rechtwinklig ausgebreiteten Armen auf einem Felsen und der Jude Shylock lehnt mit gezücktem Messer über seiner Brust.,"Antonio is situated on a rock with a rectangular poor, and the Jude Shylock leans over his chest with a fucked knife.",TO ANNOTATE
834011,579460,"Was ist es Wert zu Ihrem ENDERGEBNIS, zum von 1 Telephonleitung zu beseitigen?",What is the value of your ENDERGEBNIS to remove 1 telephony line?,TO ANNOTATE
1649835,462914,"Ein einmaliger Nachweis des Könnens dieser Menschen, die sich der einheimischen Fertigung der Keramik gewidmet haben, ist auch die Venus - Magna Mater, eine Statuette aus dieser Zeit, die JUDr.","The Venus - Magna Mater, a statuette from this time, the JUDr.",TO ANNOTATE
247285,229645,Auch ich bekomme das nur nach und nach mit.,"I, too, can only gradually get it with me.",TO ANNOTATE
637041,467881,KLEINE UND MITTLERE UNTERNEHMEN - Schlussfolgerungen des Rates,NOTE AND MEMBER STATES - Council Conclusions,TO ANNOTATE
262443,51723,Sende deine schnellsten Trupen hinter ihnen her.,Send your quickest tricks behind them.,TO ANNOTATE
186916,94589,Lage der Kabeljaubestände in der Ostsee,Baltic cod situation,TO ANNOTATE
359347,89844,Aber ein Nomad-shop nietet Ihnen noch mehr.,But a nomad-shop never stops you.,TO ANNOTATE
547106,1843367,"10064000 Bruchreis - für Bruchreis um 65% und 3,62 ECU.",10064 000 fracture - 65% and 3.62 ECU for fracture.,TO ANNOTATE
1907479,3887,"Keramikplastik von M.Žofka Die geräumige Eingangshalle ist vor allem ein Mehrzweckraum sloužící jako přirozený shromažďovací prostor, denn hier ist die Garderobe, zudem sind hier auch die Monitoren des Kamerasystems platziert, die das Gewächshaus überwachen.","Ceramics by M.Žofka The spacious entrance hall is primarily a multi-purpose room sloužící jako přirozený shromaž Pascovací prostor, because here is the cloakroom, as well as the monitors of the camera system that monitor the greenhouse.",TO ANNOTATE
278273,1523075,Massagesessel haben es erschien 's ein paar Jahrzehnten.,Massages boilers it appeared 's a few decades.,TO ANNOTATE
170911,451550,Es ist wirklich Wunsch in mir geweckt ..,It is really wanted in me awakened ..,TO ANNOTATE
473914,1255432,"Wende Deine Tiefe von mir ab, den es bringt mich in Verwirrung.","Turn your depth away from me, which it confuses me.",TO ANNOTATE
268480,1736993,...Maus Ereignisse ausserhalb der eigenen Anwendung abfangen?,...Made events outside of your application?,TO ANNOTATE
255343,220206,Doch verabschiede ich mich mit der Heimat für immer.,But I do like the home for ever.,CONTROL HALL
1914096,1871538,"Unsere letzten online immobiliaranzeigen: Immobilien Bagneres de Luchon (31440) vente Terrain a batir Terrain - nach AGENCE DU CAGIRE, in der Umgebung von: Luchon Terrain plat a batir a environ 18 kms de Luchon, contenance 1853 m2, certificat d'urbanisme encours.","Our latest online real estate ads: Real estate Bagneres de Luchon (31440) vente Terrain a batir Terrain - according to AGENCE DU CAGIRE, in the vicinity of: Luchon Terrain plat a batir a approximately 18 kms de Luchon, contenance 1853 m2, Certificate d'urbanisme encours.",TO ANNOTATE
1745238,1809905,EINBEZIEHUNG DER ERFORDERNISSE DES GESUNDHEITSSCHUTZES IN DIE GEMEINSCHAFTSPOLITIKEN - SCHLUSSFOLGERUNGEN DES RATES,INTRODUCTION OF THE COMMUNITY POLICIES - COUNCIL CONCLUSIONS,TO ANNOTATE
1044232,308877,"Dies kannst du entweder tun, indem du ein 'grab' loggst oder ein 'mark item missing' loggst.",You can do this either by logging a 'greb' or by logging a 'mark item missing'.,TO ANNOTATE
232408,1418098,Flächen im ländlichen Raum zu halten Kontrakt au...,Land in rural areas to keep contracts outside...,TO ANNOTATE
539461,1232809,"Ich bin am dsiposição zwecks Klärung dieser Angelegenheit, Besitz.",I am in possession of the dsiposição in order to clarify this matter.,TO ANNOTATE
374506,1910127,Herr Kare HALONENStellvertreter des Ständigen Vertreters,Mr Kare HALONENStell Representative of the Permanent Representative,TO ANNOTATE
627664,185474,"Wenn Sie beobachten, Informationen nicht richtig oder nicht vollständig es zu schätzen, dass notificaste.",If you observe information not correct or not complete it to appreciate that notificaste.,TO ANNOTATE
254322,626819,Von dort weiter als zwei Feten aber man entwickeln.,"From there, however, more than two fetches are being developed.",TO ANNOTATE
990388,1327582,"2051 1881 LEC), dann die Hand die Tag befördert die Datei Drittel auf solche Veränderungen zu akzeptieren, bevor die.","2051 1881 LEC), then the hand the day transports the file third to accept such changes before the.",TO ANNOTATE
72010,774561,Deswegen brauchen wir Europol.,That is why we need Europol.,GOOD
689847,679486,"Der Einband des Faksimiles, von allen Seiten aufwendig blindgeprägt.","The facsimile embedding, elaborately blindly shaped from all sides.",TO ANNOTATE
643242,706721,Gegen Abend kreuzt doch tatsächlich jemand mit dem idealen Transportmittel auf: zwei Eseln .,"In the evening, somebody actually crosses with the ideal means of transport: two donkeys .",TO ANNOTATE
1620753,1075925,"Im Herbst fi.ndern sich die Fai-ben in den Lagunen und Fischtäern, die Sandbinle und die Dämme sind von Quelleriaberzogen und färben sich rot.","In the autumn the fai-ben changes in the lagoons and fishers, the sandbinle and the dams are covered by Quelleriaberries and colour red.",TO ANNOTATE
1205550,867901,"Comes out, denn wenn die Chancen auf dem richtigen Handeln, auch wenn es einem Feind angegriffen wurde und die Verwendung von sofort evakuieren.","Comes out, because if the chances of taking the right action, even if it was attacked to an enemy and the use of it immediately evacuate.",TO ANNOTATE
165738,797535,- Du hast den TB gerade eingestellt.,- You have just set the TB.,TO ANNOTATE
51325,5687,Es war unmöglich.,It was impossible.,GOOD
1272129,1170887,12. September: Anläßlich des Bach-Festes der Stadt Hamburg hält Hindemith die Rede Johann Sebastian Bach - Ein verpflichtendes Erbe.,January 11 - The United States Senate announces the adoption of the United States Constitution of the United States .,CONTROL HALL
292202,592226,"Nein auf dem Licht des Menschen, das sich gemacht hat.",No on the light of man who made himself.,TO ANNOTATE
1481820,1246937,"Ich bin froh, eine solche Beziehung mit ihr, und lernen, ihren Heimweg von der Arbeit in einem Cafe Verschütten zu beschweren, können Sie einkaufen gehen mit Ihnen.","I am glad to have such a relationship with her, and learn to complain about her return from work in a cafe shuts, you can go shopping with you.",TO ANNOTATE
197886,1832147,Sie gibt dem Ober einen Zwanzigmarkschein.,It gives the upper a twenty-mark ticket.,TO ANNOTATE
762394,956979,Die Folge wird den ersten tieferen Einblick in die Kultur und Zivilisation des klingonischen Reiches gewähren.,"In 2268 , the Enterprise-D was assigned to the USS Enterprise-D .",CONTROL HALL
1054875,1509871,"Nicht Vereinbarung einen werden betroffen, Kredite mit besonderen Privilegien wird die Sicherheit der bezahlt werden aus dem Vermögen und Rechte ruht auf dem.","Not agreement one will be affected, loans with special privileges will be paid for the security of the assets and rights rest on the.",TO ANNOTATE
274846,1562481,Werfen Sie Ihren iPod mal so richtig in Schale!,Drop your iPod so much in Schale!,TO ANNOTATE
377474,197580,Ich habe hier beschriebenen Verbindungen vor einiger Zeit skompikowane ...,I have described here links some time ago skompikowane ...,TO ANNOTATE
1222414,659052,"Wir setzen Genua, setzte Latten im Großsegel, läuft Riffe, wir die neue Bildlaufleisten legte, zog Fallen.","We set Genoa, set ladders in the Great Seal, runs reefs, we put the new image circuits, drew traps.",TO ANNOTATE
1796826,1924524,"Wenn Sie gehen, fand ein paar Arztbesuche um beim nächsten Mal tun und entlüftet in ein paar Wochen, und niemand wird Ihre Anregung, sin EPR deine Freunde, die nicht essen will mehr ""... und diesen Schritt nicht erinnern mehr 'an ihre Familien ernähren ...","If you go, found a few medical visits to do the next time and flushed in a few weeks, and nobody will make your suggestion, sin EPR your friends who do not want to eat more ..."" and this step does not remember more 'nourish their families ...",TO ANNOTATE
1236512,1450030,"Die gewählte Lage war in der Nähe des Hafens, sehr gut geeignet, um vom Meer her anzukommen oder sich einen Fluchtweg über das Meer zu sichern.","The location was excellent, close to the port, to the sea and to the sea.",CONTROL HALL
169377,1885730,"Was sagen wir für ""Enthaltung""?","What do we say about ""end-up""?",TO ANNOTATE
1636523,1752392,Zwar spielen die Girls auf den Pics lasziv mit den Boards - doch die unverzichtbaren High Heels sind natürlich von den Topfüssen der Topgirls mit den Topbodies nicht wegzudenken.,"While the girls on the pics play lasziv with the boards, the essential high heels are naturally not to be forgotten from the top fillings of the top girls with the topbodies.",TO ANNOTATE
1081815,1443705,Als das Regime dlinnosostavnogo Bremsweg wird durch Personenzug Nomogramme Güterzüge bestimmt.,As the regime dlinnosostavnogo Bremsweg is defined by passenger train Nomogramme freight trains.,TO ANNOTATE
960092,741029,"Wappentier der Familie ist das ""schnaubende Dampfross"" mit einem Schwert zwischen den Vorderhufen.","Family capping is the ""capping steamross"" with a sword between the front hoists.",TO ANNOTATE
1046357,1773384,Aber es war das lustigste knock down oder išramsnoti Kopf und rollte über das gesamte Spielfeld.,But it was the funest knock down or išramsnoti head and rolled over the entire field.,TO ANNOTATE
88449,1546010,Die Franzosen raffen es nicht,The French Don't Gone,TO ANNOTATE
721978,969333,"Beiläufig gesagt, dreht der Rat auch dem Elise-Programm das Genick um.","In short, the Council is also turning its back on the Elise programme.",TO ANNOTATE
594645,1353331,Am Ufer wuchsen reichlich Maiglöckchen und Bärenlauch.,On the shore there were plenty of corners and bears.,CONTROL HALL
417966,963165,Am Freitagabend war Afols-Abend in der Jugendherberge.,On Friday evening Afols evening was at the hostel.,TO ANNOTATE
1613730,428773,"Das Luftfleet?omposta des Flugzeuges der Art Boeing 737 , die Reihe 700 e 800 daß sie das pi?erformanti in Verbrauch ausgedrückt sind und ein et?edia von 4 Jahren haben.","The Airfineon?omposta of the aircraft of the type Boeing 737 , the series 700 e 800 that they are the pi?erformanti in consumption and have an et?edia of 4 years.",TO ANNOTATE
388678,1748852,Wir bieten auch für Sie machen das Material durch unsere Abteilung Animation .,We also offer you to make the material through our Department Animation .,TO ANNOTATE
670919,242855,"Natürlich bereitet mir das Risiko, womöglich Unschuldige hinzurichten, Kopfzerbrechen.","Of course, there is a risk of headaches for me, perhaps innocent people.",TO ANNOTATE
916274,962968,Mit ihren verchromten Kühlern und Anschlüssen sind die Artikel immer ein Hingucker im System.,"With its chromeled coolers and connections, the articles are always a hingucker in the system.",TO ANNOTATE
103522,1792570,"Ja, Europa kann wieder wachsen.","Yes, Europe can grow again.",GOOD
294987,1440578,Muss man haben wenn man sich besonders abgespannt fühlt.,The hotel is located in the heart of the city.,CONTROL HALL
1357159,646852,"Die Tieflockerung verwendet man vor allem auf den Grundstücken, die für den Anbau der Zuckerrüben aber auch für den Raps und für die Luzerne bestimmt sind.","Deep relaxation is mainly used on land intended for the cultivation of sugar beet, but also for rape and Lucerne.",TO ANNOTATE
457932,1101883,+ Für jede art von fahrzeugen im standart oder sondermaßen.,+ For every kind of vehicle in a standart or strange way.,TO ANNOTATE
120733,655122,Viehzucht usw.) und Fischerei verwendet.,etc.) and fisheries.,TO ANNOTATE
1165113,1229155,"Die daraus resultierende Trace kann beispielsweise folgendes Aussehen der Gebäude takto.V, ein paar Gebäude aus dem Dorf Netvorice .","The resulting track can look like the buildings takto.V, a few buildings from the village Netvorice , for example.",TO ANNOTATE
490323,199953,"In OpenCity, die grundlegenden Elemente, die Ihre Stadt sind Zonen .","In OpenCity, the basic elements that your city are zones .",TO ANNOTATE
1726164,470496,"Praxis für eine lange Zeit, sondern auch in der Lage sein zu beurteilen, wer zu sagen, das Recht, die sagen, es gibt Probleme, wie SEOER, können Sie sicher sein, dass ihm einige der wichtigsten Web-Site betreiben können Ruhe.","Practice for a long time, but also be able to judge who to say the right to say there are problems like SEOER, you can be sure that it can operate some of the most important web site calm.",TO ANNOTATE
1903208,1416869,"Während der Sklave vor Geilheit fast platzt und an seiner Herrin riechen darf, die ihm so nah, aber doch unerreichbar scheint, hat Victoria Valente beinahe mörderischen Spaß, den Schwanz anzuwichsen, und wieder fallen zu lassen...anzuwichsen, und wieder fallen zu lassen....Na, Sklave, wird's langsam eng?","While the slave is almost in hurry and allowed to smell at his wife, who seems so close to him but yet unachievable to him, Victoria Valente has almost murderous fun squeezing the tail and letting it fall again...different, and letting it fall again....Na, slave, is slowly narrowing?",TO ANNOTATE
